CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,Unnamed: 171
[5714][3129],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"KAMBALDA HANGING WALL BASALT, DRILLHOLE KD330, SOUTHWEST OF KAMBALDA DOME",-31.2,-31.2,121.67,121.67,SAE,234.7,234.7,s_KD330770.0 FT [5714],"BASALT, PYROXENE [5714] / BASALT [3129]",,,,ARCHEAN [5714],,,,ACICULAR [5714] ,VOL,,,E,,WR [5714] ,50.85,0.77,,16.4,,,,9.84,8.93,8.64,0.17,,0.11,4.2,0.09,1.97,,,,0.11,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,260.0,576.0,,,,152.0,,,,,,,,0.0,171.0,23.0,66.0,2.2,,,,,,,,,,,,,75.0,,,,6.627999999999999,2.005,,,,,,,,,,,,,,,,,,,,,,,,0.512462,,,,,,,,,,,,,,,,,,,,,,,,115164.0,
[5714][3129],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"KAMBALDA HANGING WALL BASALT, WESTERN MINING CORPORATION DRILLHOLE CD339, FOSTER SHOOT, SOUTH OF LAKE LEFROY, KAMBALDA",-31.2,-31.2,121.67,121.67,SAE,,,s_CD339256.6 M [5714],BASALT [5714],,,,ARCHEAN [5714],,,,FINE-GRAINED MATRIX [5714] ,VOL,256.6,256.6,E,,WR [5714] ,51.6,0.55,,11.01,,,,10.66,8.72,15.61,0.19,,0.28,1.34,0.04,3.27,,,,0.1,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,202.0,2019.0,,,,468.0,,,,,,,,6.0,54.0,15.0,57.0,3.0,,,,,,,,,,,,,131.0,7.46,14.09,,7.33,1.78,0.58,2.12,,2.31,,1.46,,1.41,0.21,,,,,,,,,,,,,,,0.51163,,,,,19.437,,15.862,,39.559,,,,,,,,,,,,,,,115165.0,
[5714][3129],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"KAMBALDA HANGING WALL BASALT, WESTERN MINING CORPORATION DRILLHOLE CD339, FOSTER SHOOT, SOUTH OF LAKE LEFROY, KAMBALDA",-31.2,-31.2,121.67,121.67,SAE,,,s_CD339547.9 M [5714],"BASALT, PYROXENE [5714] / BASALT [3129]",,,,ARCHEAN [5714],,,,MEDIUM-GRAINED ACICULAR [5714] ,VOL,591.8,591.8,,,WR [5714] ,53.73,0.72,,14.9,,,,10.62,10.87,6.95,0.17,,0.12,1.82,0.08,0.72,,,,0.15,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,230.0,290.0,,,,91.0,,,,,,,,0.0,118.0,21.0,78.0,3.0,,,,,,,,,,,,,52.0,,21.65,,10.59,2.52,0.78,2.86,,3.11,,1.94,,1.86,,,,,,,,,,,,,,,,0.51158,,,,,18.387,,15.718,,37.942,,,,,,,,,,,,,,,115166.0,
[5714][5352][174][173][3129],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"KAMBALDA HANGING WALL BASALT, WESTERN MINING CORPORATION DRILLHOLE CD339, FOSTER SHOOT, SOUTH OF LAKE LEFROY, KAMBALDA",-31.2,-31.2,121.67,121.67,SAE,,,s_CD339591.8 M [5714] / s_C592 [5352],BASALT [5714],2700000000 [5352],2700000000 [5352],,ARCHEAN [5714],,,,,VOL,591.8,591.8,,,WR [5714] ,54.17,0.93,,14.06,,,,12.06,9.57,5.53,0.19,,0.75,2.64,0.1,0.49,,,,0.18,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,275.0,32.0,,,,48.0,,,,,,,,23.5,120.0,25.5,89.3,5.08,,,,,,,,0.7559999999999999,0.14,,,0.7,279.0,14.0,28.04,3.36,13.47,3.18,0.95,3.43,0.5,3.84,0.66,2.39,0.3,2.28,0.29,2.39,,,,,,,,,,4.4,,6.32,1.6,0.511564,,,,,28.361,,17.545,,46.65,,,,,,,,,,,,,,,115167.0,
[5714][5352][174][173][3129],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"KAMBALDA FOOTWALL BASALT, LONG SHOOT, WEST SIDE OF KAMBALDA DOME",-31.2,-31.2,121.67,121.67,SAE,,,s_KA1 [5714],BASALT [5714],2700000000 [5352],2700000000 [5352],,ARCHEAN [5714],,,,FINE-GRAINED OPHITIC [5714] ,VOL,,,E,,WR [5714] ,50.58,0.81,,15.64,,,,11.33,11.24,5.96,0.18,,0.6,3.62,,0.05,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,293.0,375.0,,,,177.0,,,,,,,,24.2,170.0,22.3,54.0,2.13,,,,,,,,0.672,0.31,,,3.8,114.0,2.56,7.28,1.18,6.24,2.09,0.79,2.84,0.46,3.45,0.71,2.23,0.33,2.15,0.31,1.47,,,,,,,,,,,,0.19699999999999998,0.049,0.51288,,,,,,,,,,,,,,,,,,,,,,,,115174.0,
[5327][5315][14487],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_99934 [5327],BASALT [5327] / THOLEIITE [14487],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,47.0,1.49,,8.09,,1.56,9.56,,13.3,13.9,0.2,,0.46,0.42,0.13,,,,,,,,,,,,,,,,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,191.0,936.0,,,,781.0,,,,,,,,28.1,33.0,14.0,115.0,15.6,,,,,,,,,,,,3.25,46.0,19.84,42.1,5.21,19.1,3.82,1.42,4.02,0.52,3.2,0.57,1.63,0.22,1.39,0.2,3.11,0.95,,,,,,,,,,,2.74,,0.5111899999999999,,,,,,,,,,,,,,,,,,,,,,,,115808.0,
[5327][5315][14487],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_99938 [5327],BASALT [5327] / THOLEIITE [14487],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,46.0,1.69,,7.76,,1.66,11.8,,11.5,13.3,0.23,,0.12,0.54,0.12,,,,,,,,,,,,,,,,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,235.0,1431.0,,,,1384.0,,,,,,,,2.9,14.0,17.0,134.0,14.9,,,,,,,,,,,,0.24,20.0,25.73,52.99,6.54,24.6,4.84,1.38,4.77,0.64,3.78,0.71,1.92,0.27,1.55,0.22,3.47,1.01,,,,,,,,,,,3.01,,0.5111899999999999,,,,,,,,,,,,,,,,,,,,,,,,115809.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_109064 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,47.56,1.63,,6.49,,13.89,,,11.06,15.19,0.23,,0.16,0.66,0.13,,,,,,,,,,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,213.0,1325.0,,,,844.0,,,,,,,,6.8,18.0,16.0,130.0,16.6,,,,,,,,,,,,2.1,6.0,24.87,53.95,6.71,28.71,5.46,1.49,4.89,0.63,3.66,0.68,1.76,0.24,1.56,0.21,3.58,0.97,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,119201.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_109065 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,48.69,1.27,,5.94,,12.34,,,12.97,14.22,0.21,,0.35,0.7,0.1,,,,,,,,,,,,,,,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,176.0,1018.0,,,,716.0,,,,,,,,18.3,32.0,13.0,98.0,13.7,,,,,,,,,,,,1.67,28.0,15.91,34.61,4.37,18.34,3.64,1.21,3.6,0.46,2.88,0.52,1.36,0.18,1.17,0.18,2.78,0.85,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,119202.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_109066 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,46.87,1.78,,7.44,,14.25,,,10.61,15.09,0.23,,0.49,0.68,0.14,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,241.0,1245.0,,,,782.0,,,,,,,,27.6,16.0,17.0,137.0,18.3,,,,,,,,,,,,4.24,41.0,25.76,54.8,6.71,28.72,5.09,1.51,5.16,0.65,3.94,0.69,1.95,0.28,1.75,0.24,4.04,1.04,,,,,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,119203.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_109068 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,45.01,1.9,,8.37,,15.66,,,10.94,14.07,0.25,,0.11,0.64,0.16,,,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,260.0,1706.0,,,,1081.0,,,,,,,,1.9,12.0,19.0,153.0,20.9,,,,,,,,,,,,0.23,15.0,29.13,60.81,7.54,31.15,6.0,1.52,5.6,0.76,4.51,0.79,2.1,0.3,1.85,0.26,4.17,1.14,,,,,,,,,,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,119204.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_372679 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,48.4,0.54,,11.7,,12.2,,,8.2,12.8,0.21,,0.09,0.81,0.05,,,,,,,,,,,,,,,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,205.0,1280.0,,,,,,,,,,,,2.2,49.0,11.0,28.0,1.6,,,,,,,,,,,,0.57,63.0,1.81,4.82,0.76,4.45,1.25,0.49,1.71,0.3,2.16,0.44,1.39,0.21,1.39,0.21,0.85,0.1,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,119205.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_372682 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,45.5,0.56,,12.1,,13.4,,,7.77,14.8,0.23,,0.09,1.06,0.05,,,,,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,241.0,1790.0,,,,,,,,,,,,1.1,30.0,12.0,29.0,1.6,,,,,,,,,,,,0.92,25.0,1.83,5.07,0.81,4.48,1.34,0.48,1.83,0.33,2.3,0.49,1.46,0.23,1.44,0.22,0.93,0.09,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,119206.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_372683 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,49.0,0.53,,10.1,,12.7,,,7.93,15.3,0.22,,0.05,0.68,0.06,,,,,,,,,,,,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,198.0,1880.0,,,,,,,,,,,,1.3,41.0,10.0,28.0,1.4,,,,,,,,,,,,0.5,10.0,1.68,4.5,0.71,3.77,1.2,0.41,1.58,0.27,1.88,0.39,1.25,0.19,1.23,0.21,0.99,0.08,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,119208.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_213759 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,47.1,0.49200000000000005,,14.7,,12.0,,,8.76,11.7,0.21,,1.09,1.09,0.05,,,,,,,,,,,,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,200.0,962.0,,,,,,,,,,,,44.8,118.0,8.0,30.0,1.6,,,,,,,,,,,,14.21,138.0,1.49,4.11,0.68,3.68,0.98,0.36,1.23,0.19,1.44,0.32,0.99,0.16,0.91,0.15,0.92,0.08,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,119209.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_213763 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,48.8,0.667,,11.6,,13.1,,,8.15,12.5,0.21,,0.06,1.46,0.07,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,237.0,1250.0,,,,,,,,,,,,0.7,68.0,14.0,37.0,2.2,,,,,,,,,,,,0.46,5.0,2.56,6.63,1.02,5.29,1.64,0.61,2.16,0.36,2.7,0.56,1.82,0.26,1.69,0.26,1.27,0.13,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,119210.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_372685 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,48.7,0.48,,10.2,,11.9,,,7.78,15.0,0.18,,0.66,0.45,0.05,,,,,,,,,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,190.0,1690.0,,,,,,,,,,,,49.8,49.0,11.0,32.0,1.5,,,,,,,,,,,,8.52,62.0,1.67,4.54,0.72,4.09,1.17,0.48,1.67,0.26,1.97,0.44,1.31,0.2,1.31,0.21,0.97,0.09,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,119211.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_372686 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,48.1,0.43,,9.62,,11.8,,,7.21,17.1,0.2,,0.04,0.57,0.05,,,,,,,,,,,,,,,,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,166.0,1950.0,,,,,,,,,,,,1.3,48.0,9.0,28.0,1.2,,,,,,,,,,,,0.68,9.0,1.51,3.78,0.6,3.05,0.93,0.37,1.34,0.22,1.67,0.37,1.16,0.17,1.09,0.18,0.88,0.08,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,119212.0,
[5327][5315],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DRILL HOLE S433, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_372688 [5327],BASALT [5327],2700000000 [5327],2700000000 [5327],,ARCHEAN [5327],,,,,VOL,,,,,WR [5327] ,49.8,0.61,,10.0,,13.5,,,8.41,14.3,0.22,,0.16,0.84,0.05,,,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,228.0,1340.0,,,,333.0,,,,,,,,11.3,57.0,11.0,28.0,1.6,,,,,,,,,,,,1.45,12.0,1.73,4.52,0.72,4.05,1.33,0.44,1.76,0.3,2.14,0.46,1.38,0.21,1.43,0.24,0.88,0.09,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,119213.0,
[5702],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"UPPER FOOTWALL, KAMBALDA",-31.2,-31.2,121.67,121.67,SAE,,,s_1 [5702],BASALT [5702],,,,ARCHEAN [5702],,,,INTERGRANULAR [5702] ,VOL,,,,,WR [5702] ,49.5,0.89,,15.3,,,,11.36,11.98,7.23,0.21,,0.15,2.21,0.08,1.03,,,,0.07,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,1002.0,,,,42.0,,244.0,364.0,,,50.0,151.0,175.0,95.0,,,,,,1.0,135.0,22.0,44.0,,,,,,,,,,,,,,,2.48,6.91,,6.23,2.12,0.73,2.62,,,0.78,,0.34,2.34,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166164.0,
[5702],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"UPPER FOOTWALL, KAMBALDA",-31.2,-31.2,121.67,121.67,SAE,,,s_2 [5702],BASALT [5702],,,,ARCHEAN [5702],,,,INTERGRANULAR [5702] ,VOL,,,,,WR [5702] ,49.0,0.91,,14.4,,,,12.0,10.24,7.24,0.2,,0.13,3.26,0.07,1.27,,,,0.25,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,1462.0,,,,36.0,,254.0,349.0,,,53.0,141.0,110.0,98.0,,,,,,,138.0,23.0,48.0,,,,,,,,,,,,,,,2.54,7.41,,6.06,2.13,0.77,3.1,,,0.79,,0.35,2.42,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166165.0,
[5702],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"UPPER FOOTWALL, KAMBALDA",-31.2,-31.2,121.67,121.67,SAE,,,s_3 [5702],BASALT [5702],,,,ARCHEAN [5702],,,,INTERGRANULAR [5702] ,VOL,,,,,WR [5702] ,49.4,0.91,,15.0,,,,11.51,11.32,7.75,0.2,,0.12,2.09,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.0,,,,38.0,,257.0,359.0,,,55.0,147.0,126.0,95.0,,,,,,1.0,108.0,23.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166166.0,
[5702],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DESIRABLE PILLOW LAVAS, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_4 [5702],BASALT [5702],,,,ARCHEAN [5702],,,,INTERGRANULAR [5702] ,VOL,,,,,WR [5702] ,52.0,0.95,,14.8,,,,10.68,10.1,5.9,0.21,,0.13,3.02,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.0,,,,,,274.0,253.0,,,51.0,115.0,51.0,88.0,,,,,,2.0,124.0,25.0,50.0,,,,,,,,,,,,,,,1.66,5.31,,5.57,2.2,0.82,3.1,,,0.87,,0.37,2.63,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166167.0,
[5702],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - NORSEMAN-WILUNA GREENSTONE BE,"DESIRABLE PILLOW LAVAS, NORSEMAN",-32.2,-32.2,121.77,121.77,SAE,,,s_5 [5702],BASALT [5702],,,,ARCHEAN [5702],,,,INTERGRANULAR [5702] ,VOL,,,,,WR [5702] ,51.7,0.93,,15.2,,,,10.25,11.36,5.85,0.21,,0.19,2.31,0.08,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1048.0,,,,40.0,,270.0,318.0,,,54.0,140.0,150.0,102.0,,,,,,9.0,132.0,23.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166168.0,
